iter	RMSE
0	3.820889239
1	3.726386052
2	3.626204941
3	3.542634648
4	3.460200444
5	3.383568244
6	3.317293694
7	3.253253402
8	3.196727179
9	3.139576029
10	3.089685999
11	3.045542572
12	3.004856498
13	2.967104519
14	2.93165009
15	2.900270004
16	2.86930844
17	2.841207969
18	2.816987479
19	2.795354687
20	2.776252332
21	2.759526525
22	2.743024721
23	2.728692682
24	2.717781302
25	2.705086611
26	2.695651135
27	2.685757497
28	2.675361921
29	2.666363076
30	2.65722489
31	2.65015566
32	2.644491394
33	2.640198529
34	2.635641573
35	2.630072367
36	2.621515338
37	2.617991516
38	2.613293689
39	2.610010701
40	2.605222884
41	2.600968448
42	2.597900964
43	2.594211789
44	2.59140466
45	2.58792148
46	2.584679166
47	2.580412708
48	2.577572807
49	2.573657555
50	2.571849293
51	2.568906492
52	2.56752276
53	2.565680913
54	2.563813574
55	2.561271829
56	2.558665999
57	2.556778231
58	2.555058466
59	2.553066973
60	2.551305005
61	2.549725735
62	2.545320891
63	2.543390906
64	2.54272854
65	2.541485627
66	2.540043896
67	2.536770001
68	2.533229238
69	2.530555706
70	2.528842796
71	2.525734415
72	2.524667752
73	2.52401997
74	2.520725801
75	2.518508072
76	2.516598917
77	2.514554036
78	2.513303024
79	2.512136213
80	2.511344495
81	2.51010947
82	2.508622476
83	2.507464023
84	2.507198736
85	2.505289958
86	2.504488498
87	2.503038042
88	2.500430881
89	2.499059414
90	2.496380959
91	2.495557735
92	2.494189956
93	2.491989582
94	2.490021378
95	2.489025717
96	2.487515486
97	2.486349736
98	2.485157601
99	2.484308048
100	2.483676375
101	2.481660358
102	2.479555603
103	2.478561767
104	2.476003118
105	2.474493652
106	2.472870884
107	2.471707484
108	2.470063205
109	2.46845598
110	2.4675023
111	2.466415193
112	2.464888529
113	2.463314304
114	2.461429404
115	2.459527216
116	2.458339653
117	2.456452584
118	2.455395819
119	2.453486223
120	2.452370329
121	2.451643582
122	2.450949229
123	2.450332726
124	2.449112866
125	2.447921106
126	2.446895115
127	2.446572087
128	2.445347009
129	2.44493127
130	2.443400542
131	2.442644005
132	2.441841977
133	2.440835417
134	2.439808282
135	2.438811549
136	2.43629135
137	2.434759999
138	2.433725275
139	2.432967416
140	2.432611643
141	2.431411627
142	2.431047085
143	2.429969232
144	2.428831143
145	2.427931205
146	2.426880059
147	2.425376031
148	2.424306579
149	2.423248523
150	2.422014346
151	2.421659907
152	2.420918566
153	2.418885507
154	2.41748859
155	2.417119837
156	2.415909333
157	2.415516099
158	2.414240424
159	2.413408221
160	2.413027114
161	2.412313218
162	2.410396066
163	2.409056037
164	2.408692344
165	2.407744232
166	2.406635642
167	2.405297325
168	2.404542768
169	2.403571905
170	2.402396139
171	2.401352357
172	2.400074834
173	2.399724492
174	2.398434793
175	2.397211747
176	2.396001747
177	2.395375905
178	2.394864437
179	2.393384407
180	2.392340975
181	2.391442181
182	2.390599334
183	2.389627726
184	2.388576519
185	2.387972971
186	2.386161701
187	2.385852777
188	2.384773061
189	2.384330054
190	2.383741327
191	2.382041924
192	2.381213967
193	2.380358491
194	2.380058968
195	2.379443716
196	2.378989038
197	2.378388584
198	2.377278385
199	2.376295598
200	2.374394861
201	2.374092293
202	2.373649242
203	2.3725967
204	2.371117645
205	2.369754842
206	2.368624926
207	2.367396999
208	2.367196658
209	2.365378613
210	2.364751483
211	2.364212193
212	2.363934242
213	2.363093062
214	2.362510498
215	2.361210918
216	2.36069776
217	2.359984204
218	2.359565047
219	2.358489371
220	2.357184197
221	2.354924096
222	2.354338344
223	2.354075125
224	2.353622954
225	2.35281618
226	2.35149225
227	2.350710759
228	2.349384472
229	2.348491754
230	2.347079604
231	2.346681294
232	2.345230345
233	2.344213147
234	2.342735387
235	2.341437278
236	2.340063378
237	2.339101462
238	2.338214032
239	2.33682052
240	2.336659704
241	2.336173927
242	2.335672826
243	2.335279026
244	2.334765722
245	2.333748468
246	2.33327069
247	2.332862407
248	2.332162469
249	2.330610816
250	2.329043511
251	2.328464652
252	2.328131637
253	2.327332997
254	2.327118565
255	2.326250732
256	2.326165693
257	2.325532344
258	2.325275458
259	2.324845608
260	2.323376784
261	2.32320553
262	2.321456908
263	2.320015213
264	2.319536129
265	2.319091525
266	2.318257188
267	2.316921942
268	2.316098554
269	2.315088504
270	2.314670938
271	2.314193826
272	2.313277364
273	2.312335874
274	2.311325185
275	2.31019656
276	2.309788682
277	2.309566214
278	2.308544638
279	2.307616632
280	2.30643565
281	2.305742873
282	2.304633223
283	2.303321805
284	2.303261151
285	2.302309436
286	2.301278823
287	2.300448157
288	2.29975993
289	2.298952565
290	2.298277017
291	2.298053473
292	2.296879015
293	2.295816431
294	2.29575766
295	2.295288511
296	2.294196503
297	2.29376221
298	2.292902264
299	2.292288822
