iter	Passed	Remaining
0	1	400
1	2	356
2	3	339
3	4	359
4	5	348
5	6	340
6	7	334
7	9	328
8	10	326
9	11	322
10	12	318
11	13	315
12	14	313
13	15	311
14	16	309
15	17	307
16	18	306
17	19	305
18	20	304
19	21	302
20	22	298
21	23	295
22	24	292
23	25	290
24	26	287
25	27	284
26	27	282
27	28	280
28	29	278
29	30	276
30	31	274
31	32	272
32	33	270
33	34	268
34	35	267
35	36	265
36	37	264
37	38	262
38	39	261
39	39	259
40	40	257
41	41	257
42	42	255
43	43	254
44	44	252
45	45	251
46	46	250
47	47	248
48	48	247
49	49	246
50	50	244
51	51	243
52	51	242
53	52	240
54	53	239
55	54	238
56	55	237
57	56	236
58	57	235
59	58	234
60	59	232
61	60	231
62	61	230
63	62	229
64	63	228
65	63	226
66	64	225
67	65	224
68	66	223
69	67	222
70	68	221
71	69	219
72	70	218
73	71	217
74	72	216
75	73	215
76	74	214
77	74	213
78	75	212
79	76	211
80	77	210
81	78	209
82	79	208
83	80	207
84	81	206
85	82	205
86	83	204
87	84	203
88	85	201
89	86	200
90	87	200
91	88	199
92	88	198
93	89	197
94	90	195
95	91	194
96	92	193
97	93	192
98	94	192
99	96	192
100	97	192
101	98	191
102	99	190
103	100	189
104	101	188
105	102	187
106	103	186
107	104	184
108	104	183
109	105	182
110	106	181
111	107	180
112	108	179
113	109	178
114	110	177
115	111	176
116	111	175
117	112	174
118	113	173
119	114	171
120	115	170
121	116	169
122	117	168
123	118	167
124	119	166
125	119	165
126	120	164
127	121	163
128	122	162
129	123	161
130	124	160
131	125	159
132	126	158
133	127	157
134	128	156
135	129	155
136	130	154
137	131	154
138	132	153
139	133	152
140	133	151
141	134	150
142	135	149
143	136	148
144	138	148
145	140	147
146	141	146
147	142	145
148	143	144
149	143	143
150	144	142
151	146	142
152	147	141
153	148	140
154	149	139
155	150	138
156	151	137
157	151	136
158	152	135
159	154	134
160	155	133
161	156	132
162	156	131
163	157	130
164	158	129
165	159	128
166	160	127
167	161	126
168	162	125
169	163	124
170	164	123
171	165	122
172	165	121
173	166	120
174	167	119
175	168	118
176	169	117
177	170	116
178	171	115
179	172	114
180	173	114
181	174	113
182	176	112
183	178	112
184	180	112
185	182	111
186	184	111
187	186	110
188	187	110
189	188	109
190	189	108
191	190	107
192	191	106
193	192	105
194	193	104
195	194	103
196	195	102
197	196	101
198	197	100
199	198	99
200	199	98
201	200	97
202	201	96
203	201	94
204	202	93
205	203	92
206	204	91
207	205	90
208	206	89
209	207	88
210	208	87
211	209	86
212	209	85
213	210	84
214	211	83
215	212	82
216	213	81
217	214	80
218	215	79
219	216	78
220	217	77
221	218	76
222	219	75
223	219	74
224	220	73
225	221	72
226	223	71
227	223	70
228	224	69
229	225	68
230	226	67
231	227	66
232	228	65
233	229	64
234	230	63
235	231	62
236	232	61
237	232	60
238	233	59
239	234	58
240	235	57
241	236	56
242	237	55
243	238	54
244	239	53
245	240	52
246	241	51
247	242	50
248	243	49
249	243	48
250	244	47
251	245	46
252	246	45
253	247	44
254	248	43
255	249	42
256	250	41
257	251	40
258	251	39
259	252	38
260	253	37
261	254	36
262	255	35
263	256	34
264	257	33
265	258	32
266	258	31
267	259	31
268	260	30
269	261	29
270	262	28
271	263	27
272	264	26
273	265	25
274	266	24
275	266	23
276	267	22
277	268	21
278	269	20
279	270	19
280	271	18
281	272	17
282	273	16
283	274	15
284	275	14
285	275	13
286	276	12
287	277	11
288	278	10
289	279	9
290	280	8
291	281	7
292	282	6
293	283	5
294	284	4
295	284	3
296	285	2
297	286	1
298	287	0
299	288	0
